learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Pool Size
31000.0,12.34375,0.234375,4266.666666666667,1.328125,752.9411764705883,0.0,30000.0,4.806966955596498,-3770.542635658891,-37.60507096596388,31000.0,0.0,25.0
32000.0,12.75,0.234375,4266.666666666667,1.25,800.0,0.0,31000.0,6.62706318742343,-3731.1355311355087,-33.43965297269709,32000.0,0.0,25.0
33000.0,13.09375,0.15625,6400.0,1.171875,853.3333333333334,0.0,32000.0,13.923446954355137,-3747.68683274023,-22.75204359673026,33000.0,0.0,25.0
34000.0,13.515625,0.234375,4266.666666666667,1.25,800.0,0.0,33000.0,16.564322398148025,-3717.2185430463664,-19.288079470198713,34000.0,0.0,25.0
35000.0,13.90625,0.15625,6400.0,1.25,800.0,0.0,34000.0,16.909502543448383,-3587.804878048765,-19.833564493758676,35000.0,0.0,25.0
36000.0,14.203125,0.15625,6400.0,0.859375,1163.6363636363637,0.0,35000.0,15.01566906481523,-3774.556213017771,-27.343446129910546,36000.0,0.0,25.0
37000.0,14.578125,0.15625,6400.0,1.171875,853.3333333333334,0.0,36000.0,14.93460853828679,-3766.860465116286,-26.80648236415634,37000.0,0.0,25.0
38000.0,14.90625,0.234375,4266.666666666667,0.9375,1066.6666666666667,0.0,37000.0,14.898976851314396,-3732.9545454545582,-26.329588014981255,38000.0,0.0,25.0
39000.0,15.171875,0.15625,6400.0,0.703125,1422.2222222222222,0.0,38000.0,15.153744787490487,-3756.2499999999914,-27.097378277153556,39000.0,0.0,25.0
40000.0,15.484375,0.15625,6400.0,1.015625,984.6153846153846,0.0,39000.0,15.65522232151451,-3756.2499999999786,-27.097378277153535,40000.0,0.0,25.0
41000.0,15.921875,0.234375,4266.666666666667,1.40625,711.1111111111111,0.0,40000.0,15.032918664544276,-3813.6871508379827,-26.032202932445813,41000.0,0.0,25.0
42000.0,16.21875,0.15625,6400.0,0.859375,1163.6363636363637,0.0,41000.0,14.225765077194433,-3942.8571428571395,-30.767218831734944,42000.0,0.0,25.0
43000.0,16.484375,0.15625,6400.0,0.78125,1280.0,0.0,42000.0,14.703933620575018,-3912.765957446817,-30.383684756308345,43000.0,0.0,25.0
44000.0,16.78125,0.15625,6400.0,1.015625,984.6153846153846,0.0,43000.0,15.147483725313066,-3912.765957446815,-30.383684756308345,44000.0,0.0,25.0
45000.0,17.21875,0.078125,12800.0,1.640625,609.5238095238095,0.0,44000.0,15.10020247324611,-3910.7611548556497,-29.885252868678297,45000.0,0.0,25.0
46000.0,17.578125,0.15625,6400.0,1.09375,914.2857142857143,0.0,45000.0,14.984781593799248,-3904.639175257743,-29.504917486247706,46000.0,0.0,25.0
47000.0,17.890625,0.15625,6400.0,0.9375,1066.6666666666667,0.0,46000.0,13.402703341466381,-4110.256410256385,-34.09554920375661,47000.0,0.0,25.0
48000.0,18.328125,0.078125,12800.0,1.5625,640.0,0.0,47000.0,11.636306389420552,-4328.2051282051125,-41.03715802368311,48000.0,0.0,25.0
49000.0,18.734375,0.15625,6400.0,1.328125,752.9411764705883,0.0,48000.0,12.057099682081935,-4328.205128205101,-41.037158023683105,49000.0,0.0,25.0
